Year ,Total landings (pounds) ,Number of fish at 10_8 per pound ,Number of fish at 12_3 per pound 
1980 ,"3,211,500 ","34,684,200 ","39,501,450 "
1981 ,"1,672,300 ","18,060,840 ","20,569,290 "
1982 ,"2,210,000 ","23,868,000 ","27,183,000 "
1983 ,"2,730,400 ","29,488,320 ","33,583,920 "
1984 ,"498,000 ","5,378,400 ","6,125,400 "
1985 ,"2,038,000 ","22,010,400 ","25,067,400 "
1986 ,"3,838,800 ","41,459,040 ","47,217,240 "
1987 ,"1,895,700 ","20,473,560 ","23,317,110 "
1988 ,"2,867,700 ","30,971,160 ","35,272,710 "
1989 ,"3,066,800 ","33,121,440 ","37,721,640 "
1990 ,"2,784,200 ","30,069,360 ","34,245,660 "
1991 ,"2,950,400 ","31,864,320 ","36,289,920 "
1992 ,"3,673,800 ","39,677,040 ","45,187,740 "
1993 ,"513,900 ","5,550,120 ","6,320,970 "
1994 ,"43,400 ","468,720 ","533,820 "
1995 ,"440,000 ","4,752,000 ","5,412,000 "
1996 ,"9,100 ","98,280 ","111,930 "
1997 ,"58,600 ","632,880 ","720,780 "
1998 ,"12,100 ","130,680 ","148,830 "
1999 ,"20,900 ","225,720 ","257,070 "
2000 ,"31,000 ","334,800 ","381,300 "
2001 ,"313,100 ","3,381,480 ","3,851,130 "
2002 ,"721,200 ","7,788,960 ","8,870,760 "
2003 ,"1,083,400 ","11,700,720 ","13,325,820 "
2004 ,"231,600 ","2,501,280 ","2,848,680 "
2005 ,200 ,"2,160 ","2,460 "
2006 ,"13,100 ","141,480 ","161,130 "
2007 ,"8,310 ","89,748 ","102,213 "
2008 ,"17,300 ","186,840 ","212,790 "
2009 ,"17,644 ","190,555 ","217,021 "
