1983ส,"2,730,400ส","29,488,320ส","33,583,920ส"
1984ส,"498,000ส","5,378,400ส","6,125,400ส"
1985ส,"2,038,000ส","22,010,400ส","25,067,400ส"
1986ส,"3,838,800ส","41,459,040ส","47,217,240ส"
1987ส,"1,895,700ส","20,473,560ส","23,317,110ส"
1988ส,"2,867,700ส","30,971,160ส","35,272,710ส"
1989ส,"3,066,800ส","33,121,440ส","37,721,640ส"
1990ส,"2,784,200ส","30,069,360ส","34,245,660ส"
1991ส,"2,950,400ส","31,864,320ส","36,289,920ส"
1992ส,"3,673,800ส","39,677,040ส","45,187,740ส"
1993ส,"513,900ส","5,550,120ส","6,320,970ส"
1994ส,"43,400ส","468,720ส","533,820ส"
1995ส,"440,000ส","4,752,000ส","5,412,000ส"
1996ส,"9,100ส","98,280ส","111,930ส"
1997ส,"58,600ส","632,880ส","720,780ส"
1998ส,"12,100ส","130,680ส","148,830ส"
1999ส,"20,900ส","225,720ส","257,070ส"
2000ส,"31,000ส","334,800ส","381,300ส"
2001ส,"313,100ส","3,381,480ส","3,851,130ส"
2002ส,"721,200ส","7,788,960ส","8,870,760ส"
2003ส,"1,083,400ส","11,700,720ส","13,325,820ส"
2004ส,"231,600ส","2,501,280ส","2,848,680ส"
2005ส,200ส,"2,160ส","2,460ส"
2006ส,"13,100ส","141,480ส","161,130ส"
2007ส,"8,310ส","89,748ส","102,213ส"
2008ส,"17,300ส","186,840ส","212,790ส"
2009ส,"17,644ส","190,555ส","217,021ส"
