record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,total,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin,,,Sum of total,Column Labels,,,,,,,,
N,4.1,20160414,YAKA,YAKA,11,!11YNKL0415,,,,,,1,8,2014,20150622,20150626,3F42001  300002 H,3F42001  300002 H,3F42001  290131 S02,S,H,P,MX,5.34,77,N,,,,,5000,1559431,,,1559431,B,,,,,AD,KLICKITAT HATCHERY (YKFP),KLICKITAT HATCHERY (YKFP),LTL WHITE SALMON-NFH,WA,CECR,KLIC,N,,,1974,21400,489177,4218672,497366,,885622,23622225,,"29,734,462"
N,4.1,20160414,YAKA,YAKA,11,!11YNKL0515,,,,,,1,8,2014,20150622,20150626,3F42001  300002 H,3F42001  300002 H,3F42001  290131 S02,S,H,P,MX,5.74,80,N,,,,,0,1519673,,,1519673,B,,,,,,KLICKITAT HATCHERY (YKFP),KLICKITAT HATCHERY (YKFP),LTL WHITE SALMON-NFH,WA,CECR,KLIC,N,,,1975,116812,,3368494,910441,,251943,34531679,,"39,179,369"
T,4.1,20160829,QDNR,QDNR,17,211166,12,,,,,1,,2015,2016,2016,,3F21703  210139 H,,,H,,,,,,,,,,,,,,0,,,,,,,NA,SALMON R FISH CULTUR,NA,NA,,,N,,,1976,47238,1184302,7989747,4051936,,1138883,21760878,,"36,172,984"
T,4.1,20160831,STIL,STIL,18,211183,12,,,,,1,3,2015,20160517,20160617,3F10308  050001 R02,3F10308  050358AH,3F10308  050001 S,G,H,K,VO,5.45,,,5000,27608,0,103,5000,1131,0,158,29000,B,0.0455,32,564,,,STILLAGUAMISH R -SF,BRENNER HATCHERY,STILLAGUAMISH R,WA,NPS,STIL,N,,,1977,110649,19187,55900,2105482,,2908147,19924591,,"25,123,956"
T,4.1,20160831,STIL,STIL,18,211162,12,,,,,1,2,2015,20160416,20160605,3F10308  050254AR,3F10308  050254AH,3F10308  050135 S,G,H,K,VO,5.04,,,5000,182139,0,1949,5000,656,0,656,185400,B,0.0071,23,570,,,WHITEHORSE SPRINGS,WHITEHORSE POND,STILLAGUAMISH R -NF,WA,NPS,STIL,N,,,1978,60106,97020,773675,489010,,588385,25597995,,"27,606,191"
T,4.1,20160809,ADFG,ADFG,12,311622,0,,,,,1,,1983,19840601,19840601,1F2UC244 3010050024,1F2UC247 5010060,1F2UC244 3010050024,,H,P,,17.5,,,5000,17672,,,0,62390,,,80062,,0,,,,,CROOKED CR 244-30,ELMENDORF,CROOKED CR 244-30,AK,CEAK,UCI,N,,,1979,96790,1778510,10848634,267551,,63984,16925345,,"29,980,814"
N,4.1,20160826,WDFW,WDFW,4,!04H00036653,,,,,,1,3,1987,19880601,19880601,3F42001  270002 R,3F42001  270002 H,3F42001  270002 S,S,H,,,6.12,,,,,,,0,253400,,,253400,B,,,,,,KALAMA R     27.0002,KALAMA FALLS HATCHERY,KALAMA R     27.0002,WA,LOCR,LEWI,N,,,1980,10539,34000,16228128,212541,,169520,23195011,,"39,849,739"
N,4.1,20160415,IDFG,IDFG,10,!10RAPH94-01,,,,,,1,1,1992,19940408,19940425,4F-1706021000203.70,4F-1706021000203.70,4F1-17060210002-HUU,S,H,B,MX,21.16,133,N,,,,,5000,2151326,,,2151326,B,,,,,,RAPID RIVER HATCHERY,RAPID RIVER HATCHERY,RAPID RIVER,ID,SNAK,SALM,N,,,1981,19617,483928,9643355,1635892,,1281809,2903875,,"15,968,476"
T,4.1,20160415,IDFG,IDFG,10,104903,0,,,,,1,1,1992,19940408,19940425,4F-1706021000203.70,4F-1706021000203.70,4F1-17060210002-HUU,S,H,B,MX,21.16,133,N,5000,306244,,,5000,9472,,,315716,B,0.03,100,100,,,RAPID RIVER HATCHERY,RAPID RIVER HATCHERY,RAPID RIVER,ID,SNAK,SALM,N,,,1982,111060,688875,4048766,2996606,,1120893,8957551,,"17,923,751"
N,4.1,20160415,IDFG,IDFG,10,!10RAPH94-02,,,,,,1,1,1992,19940421,19940425,4F-1706021000203.70,4F-1706021000203.70,4F1-17060210002-HUU,S,H,B,MX,22.29,140,N,,,,,5000,80600,,,80600,B,,,,,,RAPID RIVER HATCHERY,RAPID RIVER HATCHERY,RAPID RIVER,ID,SNAK,SALM,N,,,1983,321100,920927,6460152,2567702,,1258457,7642058,,"19,170,396"
N,4.1,20160415,IDFG,IDFG,10,!10RAPH94-03,,,,,,1,1,1992,19940420,19940421,4F-1706010100800.10,4F-1706021000203.70,4F1-17060210002-HUU,S,H,B,FR,22.29,140,N,,,,,5000,380504,,,380504,B,,,,,,SNAKE@ HLLS CNYON DM,RAPID RIVER HATCHERY,RAPID RIVER,ID,SNAK,UPSN,N,,,1984,700834,1500675,9290106,976177,,2181664,7135516,,"21,784,972"
N,4.1,20160202,CDFO,CDFO,3,!03NOCN1430,,,,,,1,3,2014,201503,201503,2FS  JNSTR0095,2FS  JNSTH0106,2FS  JNSTS0106,E,H,B,FR,,,N,,,,,0,3800,,,3800,B,,,,,3800 eggs with no otolith mark given to consultant for incubabtion boxes in CR,R-Campbell R,H-Quinsam River H,S-Quinsam R,BC,JNST,JNSTG,N,,,1985,1616412,663904,13451428,4066411,,2234574,22856298,,"44,889,027"
N,4.1,20160202,CDFO,CDFO,3,!03NOCN1462,,,,,,1,3,2014,201505,201505,2FS  SWVIR0453,2FS  SWVIH0094,2FS  SWVIS0453,S,H,P,,,,N,,,,,0,15000,,,15000,B,,,,,,R-Kennedy R Low,H-Kennedy River H,S-Kennedy R Low,BC,WCVI,SWVI,N,,,1986,740121,1948554,12924481,2927478,,2650308,16765656,,"37,956,598"
T,4.1,20160809,ADFG,SSRA,1,44417,0,,,,,1,1,1993,19950521,19950521,1M1SE101 4599999,1F1SE101 4510070,1F1SE101 4510070,S,H,P,,27.7,137,N,5000,11015,,,0,70863,5000,44,81922,W,0.004,31,491,,REPLICATE TO 044416,CARROLL INLET 101-45,WHITMAN LAKE,WHITMAN LK,AK,SEAK,SESE,N,,,1987,1056580,3371832,1571700,2783148,,439681,13733139,,"22,956,080"
T,4.1,20160809,ADFG,SSRA,1,44418,0,,,,,1,1,1993,19950521,19950521,1M1SE101 4599999,1F1SE101 4510070,1F1SE101 4510070,S,H,P,,25.2,134,N,5000,10950,,,0,88207,5000,44,99201,W,0.004,31,491,,REPLICATE TO 044419,CARROLL INLET 101-45,WHITMAN LAKE,WHITMAN LK,AK,SEAK,SESE,N,,,1988,1100376,2423631,,3061416,,396307,19994602,,"26,976,332"
N,4.1,20160826,WDFW,WDFW,4,!04P00032240,,,,,,1,3,2007,20080603,20080603,3F21902  240543 R,3F21902  240543 H,3F21902  240543 S,,H,,,6.67,65,,,,,,5000,2108243,0,34280,2142523,,,,,,,NASELLE R    24.0543,NASELLE HATCHERY,NASELLE R    24.0543,WA,WILP,NASE,N,,,1989,1817247,356743,,2100972,,731704,17077482,,"22,084,148"
N,4.1,20160826,WDFW,WDFW,4,!04P00039207,,,,,,1,3,1997,19980611,19980630,3F42001  260323 R,3F42001  260323 H,3F42001  260227 S,,H,,,7.95,85,,,,,,0,313844,,,313844,,,,,,,GREEN R      26.0323,NORTH TOUTLE HATCHERY,TOUTLE R     26.0227,WA,LOCR,COWL,N,,,1990,572890,3129490,17780050,2533965,,1639119,19838659,5049448,"50,543,621"
N,4.1,20160826,WDFW,WDFW,4,!04P00040969,,,,,,1,3,2009,20100902,20100902,3F10513  120007 R,3F10513  120007 H01,3F10513  130028 S,Y,H,,FR,25.06,,,,,,,5000,27716,0,122,27838,,,,,,RELEASED AT NIGHT DURING A HIGH TIDE AT THE CHAMBERS BAY MARINA BOAT LAUNCH,CHAMBERS CR  12.0007,GARRISON HATCHERY,DESCHUTES R  13.0028,WA,SPS,CHAM,N,,,1991,263864,4992762,,249607,,464685,24488200,,"30,459,118"
N,4.1,20160826,WDFW,WDFW,4,!04P00045435,,,,,,1,3,1999,20000605,20000605,3F21902  240460 R,3F21902  240460 H,3F21902  240460 S,,H,,,7.14,,,,,,,0,716900,,,716900,,,,,,DID NOT MEET EGG TAKE GOALS DUE TO SHORTAGE OF ADULTS.,NORTH NEMAH R24.0460,NEMAH HATCHERY,NEMAH R      24.0460,WA,WILP,NASE,N,,,1992,983032,2376124,,5583345,,1573590,27615754,,"38,131,845"
N,4.1,20160826,WDFW,WDFW,4,!04P00001813,,,,,,1,3,2003,20040622,20040623,3F42001         R,3F42001  360126 H,3F42001  360126 S,,H,,,10.07,97,,,,,,0,1218760,,,1218760,,,,,,,COLUMBIA R - GENERAL,PRIEST RAPIDS HATCHERY,PRIEST RAPIDS   (36),WA,CRGN,CRGNG,N,,,1993,1489735,1097195,16455936,3879818,,163732,25175043,,"48,261,459"
T,4.1,20160809,ADFG,SSRA,1,44407,9,,,,,1,1,1993,19950518,19950518,1M1SE101 4599997,1F1SE101 4510070,1F1SE101 4510070,S,H,P,,22.8,126,N,5000,54893,,,0,69590,5000,220,124703,W,0.004,33,491,,,HERRING COVE 101-45,WHITMAN LAKE,WHITMAN LK,AK,SEAK,SESE,N,,,1994,821299,1407654,,,,467949,22802044,,"25,498,946"
T,4.1,20160906,NMFS,NMFS,2,31622,0,,,,,1,1,1977,19780815,19780815,1M1NE109 1099999,1F1NE109 1099999,1F1SE101 7510300,,H,,,25.39,,N,5000,10972,,,5000,0,,,10972,C,0,2,,,,L PORT WALTER 109-10,LITTLE PORT WALTER,UNUK R 101-75,AK,SEAK,SENE,N,,,1995,1127641,1598562,12363535,193277,,8875037,21443894,,"45,601,946"
N,4.1,20160826,WDFW,WDFW,4,!04P00035998,,,,,,1,3,2004,20050502,20050502,3F10510  090072 R,3F10510  090072 H,3F10510  090072 S,,H,,,6.87,,,,,,,5000,541671,0,17329,559000,,,,,,,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,N,,,1996,2377149,3048759,11082413,52053,,1120585,19043410,,"36,724,369"
N,4.1,20160826,WDFW,COOP,4,!04P00042081,,,,,,1,3,1998,20000415,20000415,3F10412  160001 R,3F10412  160001 H05,3F10412  160005 S,Y,H,,,56.69,,,,,,,500,74000,,,74000,,,,,,,SKOKOMISH R  16.0001,RICKS PD (LLTK),GEORGE ADAMS (PURDY),WA,HOOD,SKDO,N,,,1997,1884492,288585,208,1393039,,1101498,12723063,,"17,390,885"
N,4.1,20160826,WDFW,WDFW,4,!04P00046041,,,,,,1,3,2007,20080625,20080625,3F42001  270002 R,3F42001  270002 H,3F42001  270002 S,,H,,,5.63,77,,,,,,5000,218575,0,1098,219673,,,,,,,KALAMA R     27.0002,KALAMA FALLS HATCHERY,KALAMA R     27.0002,WA,LOCR,LEWI,N,,,1998,270894,1547475,1410576,60157,,77272,8215220,,"11,581,594"
N,4.1,20160826,WDFW,WDFW,4,!04P00049995,,,,,,1,3,2010,20110615,20110615,3F42001  270002 R,3F42001  270002 H,3F42001  270002 S,,H,,FR,5.86,79,,,,,,5000,222741,0,895,223636,,,,,,BO=MIXED(HxW),KALAMA R     27.0002,KALAMA FALLS HATCHERY,KALAMA R     27.0002,WA,LOCR,LEWI,N,,,1999,1425045,1487628,127643,1462527,0,443577,18401917,,"23,348,337"
N,4.1,20160826,WDFW,WDFW,4,!04P00060920,,,,,,1,1,2008,20100505,20100505,3F42001  450030 R02,3F42001  450030 H02,3F42001  451116 S,Y,H,,FR,40.21,,,,,,,0,3298,,,3298,,,,,,,LK WENATCHEE (CHEL),LK WENATCHEE NET PENS,WHITE R      45.1116,WA,UPCR,WECH,N,,,2000,1513695,1880094,1414060,10091068,,4105525,7807519,,"26,811,961"
N,4.1,20160826,WDFW,COOP,4,!04P00064016,,,,,,1,3,1996,19980215,19980215,3F21902  240251 R,3M21902  246035 H,3F21902  240251 S,Y,H,,,30.23,,,,,,,0,25000,,,25000,,,,,,,WILLAPA R    24.0251,PORT OF WILLAPA AQUA,WILLAPA R    24.0251,WA,WILP,WILR,N,,,2001,143858,5455959,27768175,1803605,,7482686,31280264,,"73,934,547"
N,4.1,20160826,WDFW,COOP,4,!04P00064851,,,,,,1,3,1999,20000601,20000605,3M10707  E      R01,3F10707  020065 H,3F10707  020065 S,,H,,,5.66,,,,,,,5000,120000,,,120000,,,,,,,EAST SOUND BAY (SAN),GLENWOOD SPRINGS,GLENWOOD SPRINGS,WA,NOWA,SJUA,N,,,2002,2275150,6682493,30478746,,,1187763,40362438,,"80,986,590"
N,4.1,20160826,WDFW,WDFW,4,!04P00070048,,,,,,1,3,2013,20140627,20140627,3F21902  240356 R,3F21902  240356 H,3F21902  240251 S,,H,,VO,5.67,81,,,,,,5000,188986,0,626,189612,,,,,,BO=MIXED(HxW),FORK CR      24.0356,FORKS CREEK HATCHERY,WILLAPA R    24.0251,WA,WILP,WILR,N,,,2003,3691207,10717544,5733732,,,1769615,4309248,,"26,221,346"
N,4.1,20160826,WDFW,WDFW,4,!04P00072414,,,,,,1,1,2013,20140516,20140516,3F10107  010406 R,3F10107  010406 H,3F10107  010120 S,,H,,FR,5.03,78,,,,,,5500,18648,0,75,18723,,,,,,,KENDALL CR   01.0406,KENDALL CR HATCHERY,NOOKSACK R   01.0120,WA,NOWA,NOOK,N,,,2004,1313846,12730312,25887,,,3884067,3739456,,"21,693,568"
T,4.1,20160212,FWS,FWS,7,54830,12,,,,,1,1,2009,20110414,20110414,3F42001  290023 R,3F42001  290023 H,3F42001  290023 S,S,H,O,FR,26.76,147,,5000,25112,,,5000,156381,,,181493,B,0.002,38,514,,Ca SCS 34 Wind River Carson NFHresubmit2.16weightchange,WIND R       29.0023,CARSON NFH,WIND R       29.0023,WA,CECR,WIND,N,,,2005,108113,5491836,89223,,,4326027,1748160,,"11,763,359"
T,4.1,20160212,FWS,FWS,7,55358,12,,,,,1,1,2009,20110414,20110414,3F42001  290023 R,3F42001  290023 H,3F42001  290023 S,S,H,O,FR,25.13,145,,5000,14544,,,5000,36451,,,50995,B,0.003,49,289,,Ca SCS 34 Wind River Carson NFHresubmitweightandnumchange,WIND R       29.0023,CARSON NFH,WIND R       29.0023,WA,CECR,WIND,N,,,2006,1949105,13941031,,,,11710892,994005,,"28,595,033"
T,4.1,20160906,NMFS,NMFS,2,36225,9,,,,,1,1,1986,19880516,19880516,1M1NE109 1099999,1F1NE109 1099999,1F1SE101 7110040,S,H,I,,35.11,,N,5000,4570,,,5000,0,,,4570,C,0,215,,,HG;OWFW,L PORT WALTER 109-10,LITTLE PORT WALTER,CHICKAMIN R 101-71,AK,SEAK,SENE,N,,,2007,1570191,15680174,3072897,,,2379381,9017065,,"31,719,708"
T,4.1,20160826,WDFW,WDFW,4,630682,12,,,,,1,1,2002,20040215,20040317,3F42001  270168 R01,3F42001  270168 H,3F42001  270168 S,Y,H,,VO,64.79,181,,0,143503,,,0,1979,,,145482,,0.0136,,,,VOLITIONAL RELEASE FEB-MARCH,LEWIS R -NF  27.0168,LEWIS RIVER HATCHERY,LEWIS R      27.0168,WA,LOCR,LEWI,N,,,2008,1928325,16897077,,,,8004828,1428097,,"28,258,327"
T,4.1,20160826,WDFW,WDFW,4,631964,13,,,O,4.2004E+12,1,3,2002,20040402,20040413,3F10513  130028 R01,3F10513  130029 H,3F10513  130028 S,Y,H,,,55.99,166,,5000,16344,0,18,5000,33,,,16395,,0.002,,,,,CAPITOL LK (THUR),PERCIVAL COVE NET PN,DESCHUTES R  13.0028,WA,SPS,DES,N,,,2009,770973,12320726,,,,722787,1968615,,"15,783,101"
T,4.1,20160826,WDFW,WDFW,4,631966,13,,,O,4.2004E+12,1,3,2002,20040402,20040413,3F10513  130028 R01,3F10513  130029 H,3F10513  130028 S,Y,H,,,55.99,166,,5000,28875,0,18,5000,67,,,28960,,0.0023,,,,,CAPITOL LK (THUR),PERCIVAL COVE NET PN,DESCHUTES R  13.0028,WA,SPS,DES,N,,,2010,1387674,11902109,1055688,,,1932616,1629555,,"17,907,642"
T,4.1,20160826,WDFW,WDFW,4,631969,11,,,O,4.2004E+12,1,1,2002,20040329,20040329,3F42001  260002 R,3F42001  260002 H02,3F42001  260002 S,Y,H,,,56.69,176,,5000,24534,0,488,5000,101,0,2,25125,,0.0041,,,,,COWLITZ R    26.0002,COWLITZ SALMON HATCHERY,COWLITZ R    26.0002,WA,LOCR,COWL,N,,,2011,3390505,7791175,,5889345,,118799,2014527,,"19,204,351"
T,4.1,20160906,NMFS,NMFS,2,36303,0,,,,,1,1,1981,19830515,19830515,1M1NE109 1099999,1F1NE109 1099999,1F1SE101 7110040,,H,I,,14.71,,N,5000,18523,,,5000,112,,,18635,C,0.006,41,,,,L PORT WALTER 109-10,LITTLE PORT WALTER,CHICKAMIN R 101-71,AK,SEAK,SENE,N,,,2012,1550059,598855,10080,,,685024,2104075,,"4,948,093"
T,4.1,20151207,FWS,FWS,7,501030207,15,,,,,1,4,2000,20010201,20010201,6FCSASAF LKRP,6FCSASAF LVNH,6FCSASAF,P,H,P,FR,5.28,78,N,5000,6013,,,,,,,6013,C,0,15,200,,"FAMILY GROUP 24V,25W,26O,26W",SAC R LAKE REDDING PARK,LIVINGSTON STONE HAT,SAC R AB FEATHER,CA,SAFA,SACR,N,,,2013,148372,292409,1515354,9261544,,667954,4850245,,"16,735,878"
N,4.1,20160826,WDFW,UW,4,!04P00014974,,,,,,1,3,1997,19980511,19980511,3F10510  080028 R,3F10510  080028 H,3F10510  080028 S,,H,,,9.58,,,,,,,0,353,,,353,,,,,,,PORTAGE BAY/SHIP CNL,PORTAGE BAY HATCHERY,PORTAGE BAY STOCK UW,WA,MPS,LAKW,N,,,2014,40882,3394148,1943595,1454637,,,14362068,,"21,195,330"
T,4.1,20160826,WDFW,WDFW,4,632282,12,,,,,1,3,2003,20040611,20040611,3F10513  130028 R,3F10513  130028 H02,3F10513  130028 S,,H,,,5.03,76,,5000,190360,0,10209,5000,286,0,15,200870,,0.0015,,,,,DESCHUTES R  13.0028,TUMWATER FALLS HATCHERY,DESCHUTES R  13.0028,WA,SPS,DES,N,,,2015,,,104880,,0,,317731,,"422,611"
N,4.1,20160415,IDFG,IDFG,10,!10SAWT94-01,,,,,,1,1,1992,19940413,19940413,4F-1706020106901.25,4F-1706020106901.25,4F1-17060201069-XUU,S,H,B,VO,,,N,,,,,5000,21864,,,21864,B,,,,,,SAWTOOTH HATCHERY,SAWTOOTH HATCHERY,SALMON R,ID,SNAK,SALM,N,,,Grand Total,41299520,162915623,233305916,75558116,0,83206889,733459761,5049448,1334795273
T,4.1,20160809,ADFG,ADFG,1,44431,0,,,,,1,1,1993,19950515,19950515,1F1SE106 4410310,1F1SE106 4410310,1F1SE106 4410310,S,H,P,,9.99,115,N,5000,19929,,,0,220711,5000,469,241109,P,0.023,14,1302,,REPLICATE TO 044430,CRYSTAL CR 106-44,CRYSTAL LAKE,CRYSTAL CR,AK,SEAK,SESE,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN1090,,,,,,1,2,2010,201105,201105,2FN  SKNAR0053,2FN  SKNAH2611,2FN  SKNAS6501,F,H,B,FR,,,N,,,,,0,195,,,195,B,,,,,,R-Kitsumkalum R,H-Terrace Schools,S-Kitsum Bel Canyon,BC,NASK,SKNA,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03LV0805,,,,,,1,3,2008,200905,200905,2FS  GSMSR0223,2FS  GSMSH0223,2FS  GSMSS0223,S,H,P,,4,,N,,,,,1,53884,,,53884,W,,,,,,R-L Campbell R,H-Little Campbell River H,S-L Campbell R,BC,GST,GSMS,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN1359,,,,,,1,2,2013,201405,201406,2FS  UPFRR0345,2FS  UPFRH2150,2FS  UPFRS0155,F,H,B,FR,,,N,,,,,0,265,,,265,B,,,,,,R-Nechako R,H-Nechako Lks (Vanderh) S,S-Quesnel R,BC,FRTH,UPFR,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN1360,,,,,,1,2,2013,201405,201406,2FS  UPFRR0325,2FS  UPFRH1651,2FS  UPFRS0155,F,H,B,FR,,,N,,,,,0,550,,,550,B,,,,,Fraser River near PG,R-Fraser R Up,H-Pr George (Mackenzie) S,S-Quesnel R,BC,FRTH,UPFR,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03NOCN1361,,,,,,1,2,2013,201405,201406,2FS  UPFRR0345,2FS  UPFRH1651,2FS  UPFRS0155,F,H,B,FR,,,N,,,,,0,550,,,550,B,,,,,,R-Nechako R,H-Pr George (Mackenzie) S,S-Quesnel R,BC,FRTH,UPFR,N,,,,,,,,,,,,
T,4.1,20060803,CDFW,CDFW,8,65134,12,,,,,1,3,2002,20031120,20031120,6FBELMAI VANA,6FBRRDRC WSFH,6FBEL,Y,H,P,,54.65,,N,5000,12330,,,5000,120,,,12450,,0.0096,90,625,,,VAN ARSDALE,WARM SPRINGS HATCHERY,EEL RIVER,CA,NOCA,MAEL,C,,,,,,,,,,,,
