	Analysis Date	Sample	Museum	Sample ID	Analysis #	Amount (mg)	Comments		PeakArea N (Vs)	N quantity (ug)	Percent N Accuracy	Percent N Precision	d15N vs Air N2 (permil)	d15N Accuracy	d15N Precision		PeakArea C (Vs)	C quantity (ug)	Percent C Accuracy	Percent C Precision	d13C vs VPDB (permil)	d13C Accuracy	d13C Precision
	20190202	1_B7	NMML	NMML_2236	100493	0.306		 	186.3603	42.9932	-0.061295	0.063322	16.394	-0.04856	0.023651	 	92.55	119.3807	-0.55485	0.1527	-14.1314	0.034222	0.023196
	20190202	1_B8	NMML	NMML_2050	100494	0.317		 	207.8173	47.8911	-0.061295	0.063322	17.923	-0.04856	0.023651	 	104.567	134.4329	-0.55485	0.1527	-13.2173	0.034222	0.023196
	20190202	1_B9	NMML	NMML_2232	100495	0.304		 	241.3503	55.5454	-0.061295	0.063322	16.9191	-0.04856	0.023651	 	122.706	157.1532	-0.55485	0.1527	-12.9218	0.034222	0.023196
	20190202	1_B10	NMML	NMML_2232_2	100496	0.307		 	199.0903	45.899	-0.061295	0.063322	16.8834	-0.04856	0.023651	 	101.535	130.6351	-0.55485	0.1527	-12.9836	0.034222	0.023196
	20190202	1_B11	NMML	NMML_6068	100500	0.312		 	208.5963	48.0689	-0.061295	0.063322	18.3752	-0.04856	0.023651	 	103.871	133.5611	-0.55485	0.1527	-12.7212	0.034222	0.023196
	20190202	1_B12	NMML	NMML_1919	100501	0.316		 	213.4063	49.1669	-0.061295	0.063322	17.9926	-0.04856	0.023651	 	105.578	135.6992	-0.55485	0.1527	-10.5249	0.034222	0.023196
	20190202	1_C1	NMML	NMML_2235	100502	0.301		 	200.3823	46.1939	-0.061295	0.063322	16.3935	-0.04856	0.023651	 	100.368	129.1733	-0.55485	0.1527	-13.7537	0.034222	0.023196
	20190202	1_C2	NMML	NMML_2025	100503	0.305		 	194.8733	44.9364	-0.061295	0.063322	16.3401	-0.04856	0.023651	 	95.524	123.1058	-0.55485	0.1527	-14.9391	0.034222	0.023196
	20190202	1_C3	NMML	NMML_1917	100504	0.305		 	202.6893	46.7206	-0.061295	0.063322	17.8737	-0.04856	0.023651	 	99.796	128.4568	-0.55485	0.1527	-9.9073	0.034222	0.023196
	20190202	1_C4	NMML	NMML_2001	100505	0.314		 	210.6693	48.5421	-0.061295	0.063322	16.7595	-0.04856	0.023651	 	103.433	133.0124	-0.55485	0.1527	-14.0639	0.034222	0.023196
	20190202	1_C5	NMML	NMML_1905	100506	0.307		 	202.4603	46.6683	-0.061295	0.063322	18.211	-0.04856	0.023651	 	100.11	128.8501	-0.55485	0.1527	-10.1656	0.034222	0.023196
	20190202	1_C6	NMML	NMML_2064	100507	0.316		 	204.8433	47.2122	-0.061295	0.063322	18.1152	-0.04856	0.023651	 	102.096	131.3377	-0.55485	0.1527	-12.6263	0.034222	0.023196
	20190205	1_C7	NMML	NMML_2022	100521	0.306		 	206.129	46.8072	-0.090314	0.19357	17.4933	-0.052965	0.059386	 	100.484	129.4072	0.089926	0.72223	-13.9786	0.021709	0.043288
	20190205	1_C8	NMML	NMML_2048	100522	0.308		 	204.243	46.3842	-0.090314	0.19357	17.3541	-0.052965	0.059386	 	101.334	130.4872	0.089926	0.72223	-13.9664	0.021709	0.043288
	20190205	1_C9	NMML	NMML_2048_2	100523	0.308		 	205.168	46.5917	-0.090314	0.19357	17.2906	-0.052965	0.059386	 	102.031	131.3727	0.089926	0.72223	-13.9552	0.021709	0.043288
	20190205	1_C10	NMML	NMML_2027	100524	0.315		 	215.021	48.8018	-0.090314	0.19357	17.4521	-0.052965	0.059386	 	105.457	135.7254	0.089926	0.72223	-13.3855	0.021709	0.043288
	20190205	1_C11	NMML	NMML_2062	100525	0.301		 	202.816	46.0641	-0.090314	0.19357	18.3572	-0.052965	0.059386	 	100.229	129.0832	0.089926	0.72223	-12.6153	0.021709	0.043288
	20190205	1_C12	NMML	NMML_1995	100526	0.314		 	214.105	48.5963	-0.090314	0.19357	17.6423	-0.052965	0.059386	 	104.905	135.0241	0.089926	0.72223	-13.1746	0.021709	0.043288
	20190205	1_D1	NMML	NMML_2067	100527	0.308		 	204.289	46.3945	-0.090314	0.19357	17.8405	-0.052965	0.059386	 	101.644	130.881	0.089926	0.72223	-12.7824	0.021709	0.043288
	20190205	1_D2	NMML	NMML_2024	100528	0.307		 	205.643	46.6982	-0.090314	0.19357	17.0014	-0.052965	0.059386	 	101.197	130.3131	0.089926	0.72223	-14.0446	0.021709	0.043288
	20190205	1_D3	NMML	NMML_2045	100532	0.301		 	180.251	41.0026	-0.090314	0.19357	17.6852	-0.052965	0.059386	 	91.9	118.5012	0.089926	0.72223	-13.4284	0.021709	0.043288
	20190205	1_D4	NMML	NMML_1984	100533	0.303		 	204.385	46.416	-0.090314	0.19357	17.8156	-0.052965	0.059386	 	101.842	131.1326	0.089926	0.72223	-12.966	0.021709	0.043288
	20190205	1_D5	NMML	NMML_2028	100534	0.306		 	206.326	46.8514	-0.090314	0.19357	17.7579	-0.052965	0.059386	 	101.132	130.2305	0.089926	0.72223	-12.1156	0.021709	0.043288
	20190205	1_D6	NMML	NMML_2233	100535	0.301		 	194.652	44.2329	-0.090314	0.19357	17.026	-0.052965	0.059386	 	96.026	123.7433	0.089926	0.72223	-12.4132	0.021709	0.043288
	20190205	1_D7	NMML	NMML_1915	100536	0.3		 	197.115	44.7853	-0.090314	0.19357	17.8098	-0.052965	0.059386	 	98.688	127.1254	0.089926	0.72223	-10.5641	0.021709	0.043288
	20190205	1_D8	NMML	NMML_1915_2	100537	0.318		 	209.804	47.6316	-0.090314	0.19357	17.9435	-0.052965	0.059386	 	104.938	135.066	0.089926	0.72223	-10.5088	0.021709	0.043288
	20190205	1_D9	NMML	NMML_1918	100538	0.319		 	217.898	49.4471	-0.090314	0.19357	18.2801	-0.052965	0.059386	 	107.211	137.9539	0.089926	0.72223	-10.3121	0.021709	0.043288
	20190205	1_D10	NMML	NMML_2016	100542	0.306		 	206.778	46.9528	-0.090314	0.19357	17.2948	-0.052965	0.059386	 	101.631	130.8645	0.089926	0.72223	-13.4448	0.021709	0.043288
	20190205	1_D11	NMML	NMML_2032	100543	0.311		 	200.146	45.4652	-0.090314	0.19357	17.2414	-0.052965	0.059386	 	99.067	127.6069	0.089926	0.72223	-13.1559	0.021709	0.043288
	20190205	1_D12	NMML	NMML_2231	100544	0.31		 	207.9	47.2045	-0.090314	0.19357	17.8413	-0.052965	0.059386	 	102.168	131.5467	0.089926	0.72223	-10.5979	0.021709	0.043288
	20190205	1_E1	RM	RM_9802	100545	0.305		 	101.207	23.2725	-0.090314	0.19357	17.0746	-0.052965	0.059386	 	51.827	67.5885	0.089926	0.72223	-11.7358	0.021709	0.043288
	20190205	1_E2	RM	RM_9733	100546	0.305		 	101.828	23.4118	-0.090314	0.19357	17.2402	-0.052965	0.059386	 	51.496	67.1679	0.089926	0.72223	-11.8219	0.021709	0.043288
	20190205	1_E3	RM	RM_9730	100547	0.299	"tiny peak area for both N and C, isotope data not reliable"	 	12.719	3.424	-0.090314	0.19357	13.66	-0.052965	0.059386	 	10.023	14.4764	0.089926	0.72223	-14.8497	0.021709	0.043288
	20190205	1_E4	RM	RM_12847	100548	0.317		 	122.112	27.9616	-0.090314	0.19357	18.8131	-0.052965	0.059386	 	64.643	83.8712	0.089926	0.72223	-12.8222	0.021709	0.043288
	20190205	1_E5	RM	RM_10834	100552	0.3		 	161.872	36.8801	-0.090314	0.19357	18.4654	-0.052965	0.059386	 	79.983	103.3607	0.089926	0.72223	-13.4412	0.021709	0.043288
	20190205	1_E6	RM	RM_10273	100553	0.315		 	192.017	43.6418	-0.090314	0.19357	18.0237	-0.052965	0.059386	 	104.101	134.0026	0.089926	0.72223	-12.9297	0.021709	0.043288
	20190205	1_E7	RM	RM_2361	100554	0.3		 	160.636	36.6028	-0.090314	0.19357	17.739	-0.052965	0.059386	 	88.307	113.9363	0.089926	0.72223	-14.1979	0.021709	0.043288
	20190205	1_E8	RM	RM_9804	100555	0.308		 	189.378	43.0499	-0.090314	0.19357	17.43	-0.052965	0.059386	 	104.112	134.0166	0.089926	0.72223	-12.1834	0.021709	0.043288
	20190205	1_E9	RM	RM_9723	100556	0.309		 	110.307	25.3137	-0.090314	0.19357	18.5437	-0.052965	0.059386	 	61.565	79.9606	0.089926	0.72223	-12.9282	0.021709	0.043288
	20190205	1_E10	RM	RM_9729	100557	0.319		 	197.955	44.9737	-0.090314	0.19357	17.5623	-0.052965	0.059386	 	104.372	134.3469	0.089926	0.72223	-12.0156	0.021709	0.043288
	20190205	1_E11	RM	RM_9874	100558	0.316		 	192.168	43.6757	-0.090314	0.19357	17.4517	-0.052965	0.059386	 	98.673	127.1063	0.089926	0.72223	-12.973	0.021709	0.043288
	20190205	1_E12	RM	RM_9874_2	100559	0.317		 	188.538	42.8614	-0.090314	0.19357	17.5596	-0.052965	0.059386	 	96.959	124.9287	0.089926	0.72223	-12.9768	0.021709	0.043288
	20190206	1_F1	RM	RM_4934	100573	0.317		 	188.4763	42.314	-0.018354	0.036993	18.8514	-0.077533	0.050663	 	110.296	140.0507	0.24989	0.025995	-13.58	-0.0067588	0.041885
	20190206	1_F2	RM	RM_12695	100574	0.311		 	175.5093	39.4628	-0.018354	0.036993	19.3933	-0.077533	0.050663	 	87.558	111.6255	0.24989	0.025995	-12.1163	-0.0067588	0.041885
	20190206	1_F3	RM	RM_7714	100575	0.3		 	139.2873	31.4982	-0.018354	0.036993	17.795	-0.077533	0.050663	 	70.162	89.8785	0.24989	0.025995	-10.3845	-0.0067588	0.041885
	20190206	1_F4	RM	RM_9733	100576	0.313	"tiny peak area for both N and C, isotope data not reliable"	 	8.4193	2.7226	-0.018354	0.036993	14.2795	-0.077533	0.050663	 	8.025	12.1999	0.24989	0.025995	-16.2413	-0.0067588	0.041885
	20190206	1_F5	RM	RM_9730	100577	0.3		 	112.4563	25.5985	-0.018354	0.036993	17.2797	-0.077533	0.050663	 	56.559	72.8731	0.24989	0.025995	-10.6743	-0.0067588	0.041885
	20190206	1_F6	RM	RM_9732	100578	0.312		 	110.9223	25.2612	-0.018354	0.036993	16.6755	-0.077533	0.050663	 	55.861	72.0005	0.24989	0.025995	-10.845	-0.0067588	0.041885
	20190206	1_F7	RM	RM_11768	100579	0.31		 	94.3033	21.607	-0.018354	0.036993	18.6133	-0.077533	0.050663	 	48.893	63.2897	0.24989	0.025995	-11.9683	-0.0067588	0.041885
	20190206	1_F8	RM	RM_10273	100580	0.302		 	185.2943	41.6143	-0.018354	0.036993	18.2963	-0.077533	0.050663	 	90.866	115.7609	0.24989	0.025995	-11.6742	-0.0067588	0.041885
	20190206	1_F9	RM	RM_7412	100584	0.319		 	118.5413	26.9365	-0.018354	0.036993	16.4037	-0.077533	0.050663	 	59.909	77.061	0.24989	0.025995	-12.3778	-0.0067588	0.041885
	20190206	1_F10	RM	RM_11409	100585	0.304		 	107.6283	24.5369	-0.018354	0.036993	16.9206	-0.077533	0.050663	 	53.001	68.4252	0.24989	0.025995	-11.7278	-0.0067588	0.041885
	20190206	1_F11	RM	RM_11409_2	100586	0.315		 	100.6623	23.0052	-0.018354	0.036993	16.6846	-0.077533	0.050663	 	50.447	65.2324	0.24989	0.025995	-11.7986	-0.0067588	0.041885
	20190206	1_F12	SI	SI_276059	100587	0.319		 	190.2583	42.7058	-0.018354	0.036993	18.8196	-0.077533	0.050663	 	95.351	121.3677	0.24989	0.025995	-13.789	-0.0067588	0.041885
	20190206	1_G1	SI	SI_276058	100588	0.315		 	133.7333	30.2769	-0.018354	0.036993	18.8113	-0.077533	0.050663	 	69.506	89.0584	0.24989	0.025995	-11.8847	-0.0067588	0.041885
	20190206	1_G2	SI	SI_274154	100589	0.3		 	153.1633	34.5493	-0.018354	0.036993	18.3495	-0.077533	0.050663	 	77.066	98.5093	0.24989	0.025995	-9.8041	-0.0067588	0.041885
	20190206	1_G3	SI	SI_253041	100590	0.319		 	107.7543	24.5646	-0.018354	0.036993	18.021	-0.077533	0.050663	 	55.832	71.9643	0.24989	0.025995	-6.6578	-0.0067588	0.041885
	20190206	1_G4	SI	SI_274155	100594	0.307		 	181.8063	40.8474	-0.018354	0.036993	17.2934	-0.077533	0.050663	 	90.28	115.0283	0.24989	0.025995	-13.1998	-0.0067588	0.041885
	20190206	1_G5	SI	SI_274153	100595	0.309		 	177.7843	39.963	-0.018354	0.036993	18.4356	-0.077533	0.050663	 	89.208	113.6882	0.24989	0.025995	-10.5314	-0.0067588	0.041885
	20190206	1_G6	SI	SI_253043	100596	0.303		 	174.8893	39.3264	-0.018354	0.036993	17.8662	-0.077533	0.050663	 	86.453	110.2441	0.24989	0.025995	-11.2747	-0.0067588	0.041885
	20190206	1_G7	SI	SI_274151	100597	0.316		 	188.6883	42.3606	-0.018354	0.036993	17.9564	-0.077533	0.050663	 	95.066	121.0114	0.24989	0.025995	-11.2205	-0.0067588	0.041885
	20190206	1_G8	SI	SI_274144	100598	0.314		 	104.8983	23.9366	-0.018354	0.036993	19.3902	-0.077533	0.050663	 	57.839	74.4733	0.24989	0.025995	-13.5214	-0.0067588	0.041885
	20190206	1_G9	SI	SI_253042	100599	0.31		 	130.8223	29.6369	-0.018354	0.036993	17.7126	-0.077533	0.050663	 	66.817	85.6968	0.24989	0.025995	-10.5404	-0.0067588	0.041885
	20190206	1_G10	SI	SI_253042_2	100600	0.316		 	128.5343	29.1338	-0.018354	0.036993	17.7505	-0.077533	0.050663	 	65.132	83.5904	0.24989	0.025995	-10.5306	-0.0067588	0.041885
	20190206	1_G11	SI	SI_274146	100604	0.303		 	201.2473	45.1221	-0.018354	0.036993	17.4496	-0.077533	0.050663	 	101.447	128.9884	0.24989	0.025995	-13.3494	-0.0067588	0.041885
	20190206	1_G12	SI	SI_274152	100605	0.302		 	178.4423	40.1077	-0.018354	0.036993	17.4284	-0.077533	0.050663	 	97.116	123.5741	0.24989	0.025995	-11.9956	-0.0067588	0.041885
	20190206	1_H1	SI	SI_274156	100606	0.301		 	195.0453	43.7584	-0.018354	0.036993	17.3823	-0.077533	0.050663	 	100.425	127.7107	0.24989	0.025995	-12.1703	-0.0067588	0.041885
	20190206	1_H2	UA	35434_UA	100607	0.315		 	206.6363	46.307	-0.018354	0.036993	17.216	-0.077533	0.050663	 	110.131	139.8444	0.24989	0.025995	-13.833	-0.0067588	0.041885
	20190206	1_H3	UA	11712_UA	100608	0.313		 	158.4773	35.7177	-0.018354	0.036993	16.0679	-0.077533	0.050663	 	81.185	103.6585	0.24989	0.025995	-14.2385	-0.0067588	0.041885
	20190206	1_H4	UA	19122_UA	100609	0.312		 	188.7863	42.3821	-0.018354	0.036993	16.0257	-0.077533	0.050663	 	95.504	121.5589	0.24989	0.025995	-14.4495	-0.0067588	0.041885
	20190206	1_H5	UA	11777_UA	100610	0.314		 	198.5613	44.5315	-0.018354	0.036993	19.0281	-0.077533	0.050663	 	103.412	131.4448	0.24989	0.025995	-12.7731	-0.0067588	0.041885
	20190206	1_H6	UA	99572_UA	100611	0.303		 	157.2713	35.4525	-0.018354	0.036993	16.2203	-0.077533	0.050663	 	88.189	112.4143	0.24989	0.025995	-15.8402	-0.0067588	0.041885
	20190207	1_H7	UA	99544_UA	100625	0.308		 	190.7307	42.876	-0.0044432	0.12992	16.8769	-0.1173	0.11051	 	92.736	117.9143	-0.064529	0.43745	-13.3729	-0.004403	0.037569
	20190207	1_H8	UA	99543_UA	100626	0.304		 	169.4887	38.1177	-0.0044432	0.12992	16.1704	-0.1173	0.11051	 	96.251	122.3155	-0.064529	0.43745	-16.4521	-0.004403	0.037569
	20190207	1_H9	UA	99665_UA	100627	0.302		 	183.9277	41.3521	-0.0044432	0.12992	14.9035	-0.1173	0.11051	 	90.696	115.36	-0.064529	0.43745	-15.2125	-0.004403	0.037569
	20190207	1_H10	UA	19119_UA	100628	0.307		 	193.0457	43.3945	-0.0044432	0.12992	18.8274	-0.1173	0.11051	 	92.729	117.9055	-0.064529	0.43745	-11.7186	-0.004403	0.037569
	20190207	1_H11	UA	11778_UA	100629	0.308		 	191.3307	43.0104	-0.0044432	0.12992	16.6685	-0.1173	0.11051	 	97.625	124.0359	-0.064529	0.43745	-14.2977	-0.004403	0.037569
	20190207	1_H12	UA	11778_UA_2	100630	0.301		 	180.7757	40.646	-0.0044432	0.12992	16.6606	-0.1173	0.11051	 	93.354	118.6881	-0.064529	0.43745	-14.3183	-0.004403	0.037569
	20190207	2_A1	UA	99667_UA	100631	0.308		 	172.1237	38.708	-0.0044432	0.12992	16.1819	-0.1173	0.11051	 	88.711	112.8745	-0.064529	0.43745	-14.3017	-0.004403	0.037569
	20190207	2_A2	UA	99571_UA	100632	0.31	"tiny peak area for both N and C, isotope data not reliable"	 	17.7307	4.1236	-0.0044432	0.12992	16.1884	-0.1173	0.11051	 	12.924	17.9801	-0.064529	0.43745	-15.7813	-0.004403	0.037569
	20190207	2_A3	UA	99570_UA	100636	0.319		 	180.1927	40.5154	-0.0044432	0.12992	17.3091	-0.1173	0.11051	 	89.925	114.3946	-0.064529	0.43745	-14.2529	-0.004403	0.037569
	20190207	2_A4	UA	41617_UA	100637	0.315		 	205.5067	46.1858	-0.0044432	0.12992	16.6479	-0.1173	0.11051	 	101.402	128.7652	-0.064529	0.43745	-13.3296	-0.004403	0.037569
	20190207	2_A5	UA	41616_UA	100638	0.305		 	194.1257	43.6365	-0.0044432	0.12992	16.3578	-0.1173	0.11051	 	95.382	121.2274	-0.064529	0.43745	-13.542	-0.004403	0.037569
	20190207	2_A6	UA	99536_UA	100639	0.304		 	185.1247	41.6202	-0.0044432	0.12992	16.4169	-0.1173	0.11051	 	93.797	119.2428	-0.064529	0.43745	-15.0758	-0.004403	0.037569
	20190207	2_A7	UA	99563_UA	100640	0.299		 	183.2497	41.2002	-0.0044432	0.12992	16.4207	-0.1173	0.11051	 	89.126	113.3941	-0.064529	0.43745	-14.4738	-0.004403	0.037569
	20190207	2_A8	UA	99535_UA	100641	0.314		 	168.2347	37.8368	-0.0044432	0.12992	16.6342	-0.1173	0.11051	 	83.489	106.3359	-0.064529	0.43745	-14.2715	-0.004403	0.037569
	20190207	2_A9	UA	99657_UA	100642	0.306		 	173.2477	38.9598	-0.0044432	0.12992	15.3521	-0.1173	0.11051	 	88.959	113.185	-0.064529	0.43745	-14.3081	-0.004403	0.037569
	20190207	2_A10	UA	11779_UA	100646	0.319		 	192.2427	43.2147	-0.0044432	0.12992	16.1616	-0.1173	0.11051	 	101.134	128.4296	-0.064529	0.43745	-14.3894	-0.004403	0.037569
	20190207	2_A11	UA	11779_UA_2	100647	0.316		 	173.4947	39.0151	-0.0044432	0.12992	16.0731	-0.1173	0.11051	 	95.82	121.7758	-0.064529	0.43745	-14.8679	-0.004403	0.037569
	20190207	2_A12	UA	21485_UA	100648	0.304		 	174.8177	39.3114	-0.0044432	0.12992	17.0044	-0.1173	0.11051	 	90.19	114.7264	-0.064529	0.43745	-13.1363	-0.004403	0.037569
	20190207	2_B1	UA	41615_UA	100649	0.304		 	183.6597	41.2921	-0.0044432	0.12992	15.5507	-0.1173	0.11051	 	95.402	121.2524	-0.064529	0.43745	-14.4843	-0.004403	0.037569
	20190207	2_B2	UA	85208_UA	100650	0.315		 	182.2207	40.9697	-0.0044432	0.12992	16.439	-0.1173	0.11051	 	97.999	124.5042	-0.064529	0.43745	-14.3804	-0.004403	0.037569
	20190207	2_B3	UA	11713_UA	100651	0.307		 	175.1617	39.3885	-0.0044432	0.12992	16.5685	-0.1173	0.11051	 	90.632	115.2798	-0.064529	0.43745	-13.8185	-0.004403	0.037569
	20190207	2_B4	UA	28932_UA	100652	0.304		 	167.4677	37.665	-0.0044432	0.12992	18.9773	-0.1173	0.11051	 	92.254	117.3108	-0.064529	0.43745	-13.0549	-0.004403	0.037569
	20190207	2_B5	UA	99537_UA	100656	0.305		 	368.1957	82.6285	-0.0044432	0.12992	5.9016	-0.1173	0.11051	 	234.285	295.1506	-0.064529	0.43745	-14.297	-0.004403	0.037569
	20190207	2_B6	UA	99566_UA	100657	0.317		 	178.1887	40.0665	-0.0044432	0.12992	17.2562	-0.1173	0.11051	 	90.748	115.4251	-0.064529	0.43745	-14.1097	-0.004403	0.037569
	20190207	2_B7	UA	37974_UA	100658	0.318		 	187.7937	42.2181	-0.0044432	0.12992	16.4499	-0.1173	0.11051	 	93.608	119.0061	-0.064529	0.43745	-13.2195	-0.004403	0.037569
	20190207	2_B8	UA	28933_UA	100659	0.304		 	175.3407	39.4286	-0.0044432	0.12992	16.3271	-0.1173	0.11051	 	88.058	112.0569	-0.064529	0.43745	-12.725	-0.004403	0.037569
	20190207	2_B9	UA	11712_UA	100660	0.309		 	189.2487	42.544	-0.0044432	0.12992	16.3356	-0.1173	0.11051	 	95.549	121.4365	-0.064529	0.43745	-14.3723	-0.004403	0.037569
	20190207	2_B10	UA	11712_UA_2	100661	0.305		 	182.9457	41.1321	-0.0044432	0.12992	16.2654	-0.1173	0.11051	 	91.743	116.6709	-0.064529	0.43745	-14.3778	-0.004403	0.037569
	20190207	2_B11	UA	85207_UA	100662	0.319		 	185.7847	41.7681	-0.0044432	0.12992	17.3032	-0.1173	0.11051	 	100.764	127.9663	-0.064529	0.43745	-13.9234	-0.004403	0.037569
	20190207	2_B12	UA	36254_UA	100663	0.313		 	191.9007	43.1381	-0.0044432	0.12992	17.4365	-0.1173	0.11051	 	97.141	123.4299	-0.064529	0.43745	-13.7833	-0.004403	0.037569
	20190208	2_C1	UA	37972_UA	100677	0.302		 	155.4313	35.2144	-0.23499	0.24249	17.0816	-0.032242	0.055905	 	78.14	98.6062	-0.71865	0.79719	-14.3699	0.089236	0.098025
	20190208	2_C2	UA	36262_UA	100678	0.301		 	152.7913	34.615	-0.23499	0.24249	15.9474	-0.032242	0.055905	 	80.687	101.8168	-0.71865	0.79719	-14.1869	0.089236	0.098025
	20190208	2_C3	UA	19123_UA	100679	0.314		 	201.4943	45.673	-0.23499	0.24249	18.7451	-0.032242	0.055905	 	103.241	130.2468	-0.71865	0.79719	-12.4359	0.089236	0.098025
	20190208	2_C4	UA	35432_UA	100680	0.309		 	192.9113	43.7242	-0.23499	0.24249	17.2253	-0.032242	0.055905	 	99.3	125.2791	-0.71865	0.79719	-12.8831	0.089236	0.098025
	20190208	2_C5	UA	99658_UA	100681	0.308		 	170.8453	38.7141	-0.23499	0.24249	14.8852	-0.032242	0.055905	 	88.626	111.8242	-0.71865	0.79719	-14.4079	0.089236	0.098025
	20190208	2_C6	UA	41613_UA	100682	0.306		 	195.1723	44.2376	-0.23499	0.24249	16.7201	-0.032242	0.055905	 	97.318	122.7807	-0.71865	0.79719	-13.4057	0.089236	0.098025
	20190208	2_C7	UA	37973_UA	100683	0.304		 	184.9843	41.9244	-0.23499	0.24249	17.003	-0.032242	0.055905	 	94.002	118.6008	-0.71865	0.79719	-13.1675	0.089236	0.098025
	20190208	2_C8	UA	85212_UA	100684	0.313		 	178.5163	40.4558	-0.23499	0.24249	15.6869	-0.032242	0.055905	 	94.061	118.6751	-0.71865	0.79719	-14.3123	0.089236	0.098025
	20190208	2_C9	UA	85212_UA_2	100688	0.307		 	174.8303	39.6189	-0.23499	0.24249	15.9341	-0.032242	0.055905	 	91.781	115.8011	-0.71865	0.79719	-14.2779	0.089236	0.098025
	20190208	2_C10	UA	85212_UA_3	100689	0.302		 	169.4283	38.3924	-0.23499	0.24249	15.6388	-0.032242	0.055905	 	90.014	113.5738	-0.71865	0.79719	-14.4397	0.089236	0.098025
