Analysis Date,Sample,Identifier2,Analysis #,Amount (mg),Sample ID,Nitrogen Data,PeakArea N (Vs),Percent N,Percent N Accuracy,Percent N Precision,d15N vs Air N2 (permil),d15N Accuracy,,Sex,County,Year,Location,Region
20170825,C4,Tray 1,89721,0.318,36045,,84.401,10.9645,-0.042958,0.37456,16.0736,-0.05524,,Unknown,Clallam,1989,Lat: 48.3683 Long: -124.6236WASHINGTON: Clallam County; vicinity of Neah Bay,Coastal WA
20170825,C5,Tray 1,89722,0.309,34997,,102.13,13.6466,-0.042958,0.37456,17.8668,-0.05524,,Male,Cowlitz,1987,"WASHINGTON: Cowlitz County; Oak Point Drift, river mile 53",Columbia River
20170825,C6,Tray 1,89723,0.315,34989,,99.62,13.0585,-0.042958,0.37456,17.528,-0.05524,,Female,Cowlitz,1987,"WASHINGTON: Cowlitz County; Oak Point Drift, river mile 53",Columbia River
20170825,D1,Tray 1,89724,0.305,80771,,106.2,14.3751,-0.042958,0.37456,16.8483,-0.05524,,Male,Island,2004,Lat: 48.1742 Long: -122.5281WASHINGTON: Island County; Camano Island,Puget Sound
20170825,D2,Tray 1,89725,0.316,32052,,67.467,8.8271,-0.042958,0.37456,16.5873,-0.05524,,Male,Island,1977,"Lat: 48.2933 Long: -122.5985228WASHINGTON: Island County; Whidbey Island, Oak Harbor, 2 mi E; neat Point Polnell",Puget Sound
20170825,D3,Tray 1,89726,0.31,82370,,91.245,12.1566,-0.042958,0.37456,17.3424,-0.05524,,Female,Yakutat,2014,Lat: 59.5278 Long: -139.7673ALASKA: Yakutat; Yakutat Harbor; Deep Bay,SE Alaska
20170825,D5,Tray 1,89731,0.311,34991,,90.132,11.9701,-0.042958,0.37456,16.8257,-0.05524,,Male,Cowlitz,1987,"WASHINGTON: Cowlitz County; Oak Point Drift, river mile 53",Columbia River
20170825,D6,Tray 1,89732,0.306,39398,,114.603,15.4589,-0.042958,0.37456,17.3602,-0.05524,,Female,Kitsap,1980,Lat: 47.8628 Long: -122.5133WASHINGTON: Kitsap County; Eglon; 1 block NW of boat launch,Puget Sound
20170825,A1,Tray 2,89733,0.303,82371,,96.656,13.1728,-0.042958,0.37456,18.2604,-0.05524,,Female,Yakutat,2014,"Lat: 59.9385 Long: -139.6076ALASKA: Yakutat; Yakutat Bay; Disenchantment Bay, near Point Bancas",SE Alaska
20170825,A2,Tray 2,89734,0.304,20228,,97.746,13.2772,-0.042958,0.37456,17.7057,-0.05524,,Unknown,Clatsop,1959,Lat: 46.0999 Long: -123.9359OREGON: Clatsop County; beach between Gearhart and the Peter Ihrdale,Columbia River
20170825,A3,Tray 2,89735,0.301,80774,,97.264,13.3436,-0.042958,0.37456,16.8956,-0.05524,,Female,Columbia,1994,,Columbia River
20170825,A4,Tray 2,89736,0.319,34974,,97.818,12.6621,-0.042958,0.37456,17.8851,-0.05524,,Male,Columbia,1987,"Lat: 46.1408 Long: -123.2525OREGON: Columbia County; Wallace, river mile 50",Columbia River
20170825,A5,Tray 2,89737,0.306,82369,,100.095,13.5065,-0.042958,0.37456,16.3768,-0.05524,,Female,Yakutat,2014,"Lat: 59.9326 Long: -139.5983ALASKA: Yakutat; Yakutat Bay; Disenchantment Bay, near Point Bancas",SE Alaska
20170825,A6,Tray 2,89738,0.303,35015,,66.708,9.1027,-0.042958,0.37456,17.1897,-0.05524,,Female,Clatsop,1988,"OREGON: Clatsop County; Chute Drift, river mile 20",Columbia River
20170825,B1,Tray 2,89739,0.314,36044,,112.608,14.8034,-0.042958,0.37456,18.2702,-0.05524,,Female,Kitsap,1979,Lat: 47.8628 Long: -122.5133WASHINGTON: Kitsap County; Eglon,Puget Sound
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
